taxon	longitude	latitude
3	-9.29418864264209	5.49888763443322
4	-6.38049763142682	6.36857895230892
12	-8.88995958292284	5.46721635788676
14	-10.6168971120822	7.51111381497863
21	-10.2579633883006	8.05478199765969
23	-9.36010376320477	7.30959080670316
24	-6.39679986522844	5.32886542622304
31	-8.22475536269494	5.40938808101111
35	-5.64141229707789	5.07802136969538
37	-11.9284756867685	7.88441820006689
43	-10.6134975731614	7.60337374195904
47	-11.1033278234385	8.25766674091581
50	-12.2166101525383	9.03226574664455
57	-10.6297048843098	7.72068956719722
62	-10.9460285086535	8.41986559581261
66	-8.74311109069085	7.86281896342365
70	-7.14514950510208	6.12152941227635
72	-10.0743618021334	8.32613235331935
78	-6.56216585402058	6.21384161130322
79	-9.82767140203592	7.61727113114676
80	-10.9523630100159	8.12626437519717
84	-10.5634232252721	8.51592066663467
88	-8.69472797716708	9.22646480855154
90	-10.4618601361205	8.73791702159588
96	-9.85321459850901	9.02487582651118
98	-7.67715140533759	6.12112063700041
99	-14.1518115995966	10.8734041554157
104	-8.41432344227807	8.10075949170249
105	-5.73997443915486	5.15871024399843
106	-6.47274961740806	8.09337290767269
114	-10.5371793259484	6.48944396251701
116	-7.33486617212351	7.33774057017857
119	-7.57120399644256	7.70818835422558
120	-9.70933899844855	9.58161452837564
126	-6.93850672888269	6.06106771779612
129	-11.0693197526775	6.61984798880974
130	-12.840002139859	8.445994284001
134	-7.02956127058339	5.33624794851929
137	-9.0747665087887	5.88196745730976
139	-5.82509609040024	8.55033352526077
144	-9.72327649709894	6.1137149090104
153	-4.8967926908344	7.44331382944002
156	-7.91663401343651	9.1687986447374
160	-10.0740039801146	8.53425694546853
161	-9.78139989245547	7.85516675342724
162	-10.1573726924208	9.02491214697776
164	-10.5148372111125	8.22754801979602
165	-10.6777326070063	8.04675636156505
166	-8.18203770743448	4.6949360066942
168	-9.42765648323315	9.62753775419949
170	-12.4547835867051	9.2179465871893
175	-11.9833420844523	9.49764415192651
178	-9.12982608896533	6.98173624805484
179	-9.97410535544107	9.84735681003063
180	-8.39356053105025	6.21210219488062
183	-7.41588669234546	7.41943635103785
184	-11.4651728839627	8.56612477915485
186	-10.3169306230161	11.5746232472763
187	-5.57344811078209	8.30997424769232
188	-10.632055635652	6.4647680772736
190	-6.00305815228384	10.6725443034532
194	-15.0578191997042	11.3595340046513
197	-11.3716531496162	10.4039705693069
199	-10.4977670903889	6.95189756072811
200	-10.1685801434328	11.6404370026154
202	-9.48855056036833	9.87150259103845
204	-9.33537439145821	12.1540974628183
211	-7.90649232384938	6.82395835356917
218	-9.78181631149791	12.6847470416449
224	-9.07946787775442	11.5512165772801
230	-10.8945496531006	8.94718551011441
235	-11.0738074692753	7.81297615620882
239	-10.8124393084561	12.5120014173665
240	-9.37544641006104	7.0812385274276
244	-8.43969179136715	5.78429322928088
245	-10.893694079656	11.6297948578455
246	-9.03518536878865	9.31462247023001
248	-12.8656996888063	12.4429380478195
250	-11.8601145193841	8.7741400650046
251	-9.21551819008473	10.7448295185894
253	-7.18905667188556	12.2978423706924
